feature,mean_percentile,min_percentile,mean_f,group
mfcc_delta_07_std,0.8421052631578947,0.6654135338345865,21.258366651372864,MFCC
mfcc_delta_08_mean,0.08270676691729323,0.0037593984962406013,1.544171133624124,MFCC
mfcc_delta_08_std,0.8258145363408521,0.6917293233082706,18.3181330688847,MFCC
mfcc_delta_09_mean,0.1729323308270677,0.06766917293233082,2.653222714314994,MFCC
mfcc_delta_09_std,0.8684210526315789,0.7669172932330827,19.91411349606447,MFCC
mfcc_delta_10_mean,0.19548872180451127,0.11654135338345864,2.9673714655159444,MFCC
mfcc_delta_10_std,0.8383458646616542,0.7218045112781954,18.92532766131807,MFCC
mfcc_delta_11_mean,0.08395989974937342,0.018796992481203006,1.5389116358213137,MFCC
mfcc_delta_11_std,0.8922305764411028,0.793233082706767,24.88395159807396,MFCC
mfcc_delta_12_mean,0.10651629072681705,0.02631578947368421,1.853647240169898,MFCC
mfcc_delta_12_std,0.8132832080200502,0.5939849624060151,19.718530513332514,MFCC
mfcc_delta_13_mean,0.11904761904761903,0.11654135338345864,1.919826218376749,MFCC
mfcc_delta_13_std,0.830827067669173,0.7781954887218046,17.529318380898758,MFCC
mfcc_delta_14_mean,0.08771929824561403,0.02631578947368421,1.6039800508529183,MFCC
mfcc_delta_14_std,0.8208020050125313,0.7518796992481203,17.528701314947018,MFCC
mfcc_delta_15_mean,0.06766917293233082,0.03007518796992481,1.397724166272728,MFCC
mfcc_delta_15_std,0.6729323308270677,0.5864661654135338,12.321678545296296,MFCC
mfcc_delta_16_mean,0.07017543859649122,0.041353383458646614,1.50646229344195,MFCC
mfcc_delta_16_std,0.6528822055137845,0.5827067669172933,11.017507036053443,MFCC
mfcc_delta_17_mean,0.16541353383458646,0.015037593984962405,2.7831677515352187,MFCC
mfcc_delta_17_std,0.6704260651629074,0.6015037593984962,11.187371453379791,MFCC
mfcc_delta_18_mean,0.02756892230576441,0.015037593984962405,1.0195871894900657,MFCC
mfcc_delta_18_std,0.6604010025062657,0.6127819548872181,11.515141079601912,MFCC
mfcc_delta_19_mean,0.21679197994987467,0.15413533834586465,3.0740946962627187,MFCC
mfcc_delta_19_std,0.6491228070175438,0.5864661654135338,11.471046932662796,MFCC
mfcc_delta_20_mean,0.11278195488721804,0.07142857142857142,1.9388277316454507,MFCC
mfcc_delta_20_std,0.5538847117794486,0.49624060150375937,10.173243497806832,MFCC
mfcc_delta_21_mean,0.1829573934837093,0.15413533834586465,2.7177664533746237,MFCC
mfcc_delta_21_std,0.5776942355889725,0.5225563909774437,10.757991326114338,MFCC
mfcc_delta_22_mean,0.10150375939849625,0.011278195488721804,1.8858499691959665,MFCC
mfcc_delta_22_std,0.6365914786967418,0.6240601503759399,11.180256747781696,MFCC
mfcc_delta_23_mean,0.07644110275689223,0.02631578947368421,1.5499287555557089,MFCC
mfcc_delta_23_std,0.6917293233082707,0.6203007518796992,12.703042874769396,MFCC
mfcc_delta_24_mean,0.041353383458646614,0.015037593984962405,1.1245780386805064,MFCC
mfcc_delta_24_std,0.6766917293233083,0.5375939849624061,13.046301708067865,MFCC
mfcc_delta_25_mean,0.05764411027568922,0.045112781954887216,1.3133381808058437,MFCC
mfcc_delta_25_std,0.706766917293233,0.6428571428571429,13.259072842830966,MFCC
mfcc_delta_26_mean,0.07268170426065163,0.011278195488721804,1.4343522241621125,MFCC
mfcc_delta_26_std,0.8032581453634086,0.7330827067669173,16.18900004287224,MFCC
mfcc_delta_27_mean,0.14035087719298245,0.09022556390977443,2.204470443600743,MFCC
mfcc_delta_27_std,0.6942355889724311,0.6278195488721805,13.796572031008592,MFCC
mfcc_delta_28_mean,0.13784461152882205,0.11278195488721804,2.1572081829402943,MFCC
mfcc_delta_28_std,0.7293233082706766,0.5601503759398496,15.015560900194709,MFCC
mfcc_delta_29_mean,0.042606516290726815,0.007518796992481203,1.0486736789693172,MFCC
mfcc_delta_29_std,0.7105263157894738,0.556390977443609,14.432554523256698,MFCC
mfcc_delta_30_mean,0.040100250626566414,0.022556390977443608,1.1126387184955557,MFCC
mfcc_delta_30_std,0.7907268170426066,0.6616541353383458,16.030841021247063,MFCC
mfcc_delta_31_mean,0.11528822055137844,0.10902255639097744,1.8840122916295325,MFCC
mfcc_delta_31_std,0.7318295739348372,0.5939849624060151,13.986280331379682,MFCC
mfcc_delta_32_mean,0.06516290726817042,0.03007518796992481,1.3950686169039936,MFCC
mfcc_delta_32_std,0.7493734335839598,0.5639097744360902,15.403271045290415,MFCC
mfcc_delta_33_mean,0.13157894736842105,0.07894736842105263,2.105668747281252,MFCC
