feature,group,anova_f,p_value
mfcc_delta2_21_std,MFCC,26.492783581319227,1.2775316370723008e-48
mfcc_delta2_22_mean,MFCC,5.025970285132335,1.1641208975958257e-07
mfcc_delta2_22_std,MFCC,32.387182374070306,6.371275989664133e-59
mfcc_delta2_23_mean,MFCC,3.975579089746542,1.0938588654129824e-05
mfcc_delta2_23_std,MFCC,26.331575578206472,2.4804685809095028e-48
mfcc_delta2_24_mean,MFCC,8.599593623421407,1.1991852914934098e-14
mfcc_delta2_24_std,MFCC,26.609815397483516,7.89572015760979e-49
mfcc_delta2_25_mean,MFCC,7.11287909401218,1.0267613557595432e-11
mfcc_delta2_25_std,MFCC,30.76522677987493,3.9274149370217533e-56
mfcc_delta2_26_mean,MFCC,8.303169651882595,4.620886111511542e-14
mfcc_delta2_26_std,MFCC,36.521940336862166,6.946892723238198e-66
mfcc_delta2_27_mean,MFCC,20.881890977733498,2.189923308167374e-38
mfcc_delta2_27_std,MFCC,28.422778302118708,4.821776846222179e-52
mfcc_delta2_28_mean,MFCC,4.330607000129722,2.4001077055315564e-06
mfcc_delta2_28_std,MFCC,28.348356638351834,6.520717643458955e-52
mfcc_delta2_29_mean,MFCC,2.4079458900597532,0.005943273907319148
mfcc_delta2_29_std,MFCC,26.465045329479473,1.431955914579173e-48
mfcc_delta2_30_mean,MFCC,2.736128683318081,0.0017147571355850758
mfcc_delta2_30_std,MFCC,38.78981090056191,1.293264969506349e-69
mfcc_delta2_31_mean,MFCC,5.890241598958103,2.520024456390971e-09
mfcc_delta2_31_std,MFCC,35.87722218445187,8.194503360574329e-65
mfcc_delta2_32_mean,MFCC,7.733885831255515,6.146013613354893e-13
mfcc_delta2_32_std,MFCC,40.732679020159836,9.216432175601212e-73
mfcc_delta2_33_mean,MFCC,4.4759690843257305,1.2819675896936345e-06
mfcc_delta2_33_std,MFCC,36.14216887592669,2.968122395532505e-65
mfcc_delta2_34_mean,MFCC,10.009637077973979,1.9536117945628784e-17
mfcc_delta2_34_std,MFCC,35.770944473195605,1.2321902269992583e-64
mfcc_delta2_35_mean,MFCC,3.9572333061437592,1.1822933741134193e-05
mfcc_delta2_35_std,MFCC,31.46503583517326,2.4336541837064437e-57
mfcc_delta2_36_mean,MFCC,1.4976632909505598,0.1264966577507662
mfcc_delta2_36_std,MFCC,32.958809177449986,6.744749698846492e-60
mfcc_delta2_37_mean,MFCC,3.0297337977046808,0.0005412033372432838
mfcc_delta2_37_std,MFCC,27.699428868887306,9.128966696244683e-51
mfcc_delta2_38_mean,MFCC,1.9673484271228783,0.02851084993139819
mfcc_delta2_38_std,MFCC,28.41003266226151,5.077529465662351e-52
mfcc_delta2_39_mean,MFCC,10.201393900612256,8.164340376227157e-18
mfcc_delta2_39_std,MFCC,31.297646058074694,4.7271183373647393e-57
mfcc_delta2_40_mean,MFCC,2.5143778589594388,0.0039955619719833245
mfcc_delta2_40_std,MFCC,27.679244244907217,9.911979349469487e-51
spectral_centroid_mean,Centroid,62.293577707542504,5.587732956060906e-105
spectral_centroid_std,Centroid,60.47835051276616,1.925394730209635e-102
spectral_bandwidth_mean,Bandwidth,44.698422336063565,4.7315906608017844e-79
spectral_bandwidth_std,Bandwidth,48.01586954750782,3.523889609305597e-84
spectral_rolloff_mean,Rolloff,47.88262020126248,5.632740021515653e-84
spectral_rolloff_std,Rolloff,41.38420155504884,8.298897512954262e-74
spectral_flatness_mean,Flatness,111.60492331990035,1.6270078156455069e-164
spectral_flatness_std,Flatness,158.59833192492076,4.042159906442517e-209
spectral_contrast_01_mean,Contrast,20.437088637230048,1.4782530875970392e-37
spectral_contrast_01_std,Contrast,7.392650379149417,2.891079445384842e-12
spectral_contrast_02_mean,Contrast,18.157918198756256,2.8844343683051162e-33
spectral_contrast_02_std,Contrast,14.591676158082777,2.0162551223125157e-26
spectral_contrast_03_mean,Contrast,25.89597930133824,1.4958903113283378e-47
spectral_contrast_03_std,Contrast,15.629965788427203,1.9775013803062552e-28
spectral_contrast_04_mean,Contrast,19.627997073135628,4.8416483409363905e-36
spectral_contrast_04_std,Contrast,15.411513978395352,5.219840186677952e-28
spectral_contrast_05_mean,Contrast,14.465575016737453,3.5423699683012406e-26
spectral_contrast_05_std,Contrast,16.168195803085798,1.8193180137088886e-29
spectral_contrast_06_mean,Contrast,27.744193140725102,7.606440527721764e-51
spectral_contrast_06_std,Contrast,41.80540403093057,1.760681262871972e-74
spectral_contrast_07_mean,Contrast,582.803141053295,0.0
spectral_contrast_07_std,Contrast,82.48436222690579,2.285447961320931e-131
rms_mean,RMS,195.28187066358396,1.8754274792062512e-238
rms_std,RMS,160.71951511876375,6.2587510300175026e-211
zcr_mean,ZCR,75.72646756056545,6.892384207593397e-123
zcr_std,ZCR,66.43203069250009,1.1770272502927545e-110
